event_type,status,asset_pair,event_count,amount_usdt
API_TRADE,FAILED,BTC_TRY,70,0.0
API_TRADE,FAILED,BTC_USDT,180,0.0
API_TRADE,FAILED,ETH_TRY,49,0.0
API_TRADE,FAILED,ETH_USDT,118,0.0
API_TRADE,FAILED,USDC_USDT,47,0.0
API_TRADE,FAILED,USDT_TRY,221,0.0
API_TRADE,PENDING,BTC_TRY,40,0.0
API_TRADE,PENDING,BTC_USDT,110,0.0
API_TRADE,PENDING,ETH_TRY,35,0.0
API_TRADE,PENDING,ETH_USDT,72,0.0
API_TRADE,PENDING,USDC_USDT,37,0.0
API_TRADE,PENDING,USDT_TRY,120,0.0
API_TRADE,SUCCESS,BTC_TRY,1386,428466.516879
API_TRADE,SUCCESS,BTC_USDT,3223,1053700.543384
API_TRADE,SUCCESS,ETH_TRY,1029,319109.413751
API_TRADE,SUCCESS,ETH_USDT,2380,721870.46718
API_TRADE,SUCCESS,USDC_USDT,790,240039.649163
API_TRADE,SUCCESS,USDT_TRY,4489,1377235.515911
CHAIN_WITHDRAW,FAILED,,402,0.0
CHAIN_WITHDRAW,PENDING,,217,0.0
CHAIN_WITHDRAW,SUCCESS,,8341,5200137.516402
DEVICE_BIND,SUCCESS,,1200,0.0
DEVICE_LOGIN,FAILED,,608,0.0
DEVICE_LOGIN,PENDING,,407,0.0
DEVICE_LOGIN,SUCCESS,,11342,0.0
FIAT_DEPOSIT,FAILED,,575,0.0
FIAT_DEPOSIT,PENDING,,341,0.0
FIAT_DEPOSIT,SUCCESS,,12026,9768437.556525
INTERNAL_TRANSFER,FAILED,,364,0.0
INTERNAL_TRANSFER,PENDING,,210,0.0
INTERNAL_TRANSFER,SUCCESS,,6102,3254376.267866
KYC_START,SUCCESS,,1200,0.0
KYC_SUCCESS,SUCCESS,,1200,0.0
LOGIN,FAILED,,1291,0.0
LOGIN,PENDING,,769,0.0
LOGIN,SUCCESS,,23656,0.0
PASSWORD_CHANGE,FAILED,,207,0.0
PASSWORD_CHANGE,PENDING,,115,0.0
PASSWORD_CHANGE,SUCCESS,,3590,0.0
REGISTER,SUCCESS,,1200,0.0
SPOT_TRADE,FAILED,BTC_TRY,70,0.0
SPOT_TRADE,FAILED,BTC_USDT,160,0.0
SPOT_TRADE,FAILED,ETH_TRY,58,0.0
SPOT_TRADE,FAILED,ETH_USDT,125,0.0
SPOT_TRADE,FAILED,USDC_USDT,45,0.0
SPOT_TRADE,FAILED,USDT_TRY,253,0.0
SPOT_TRADE,PENDING,BTC_TRY,42,0.0
SPOT_TRADE,PENDING,BTC_USDT,101,0.0
SPOT_TRADE,PENDING,ETH_TRY,30,0.0
SPOT_TRADE,PENDING,ETH_USDT,72,0.0
SPOT_TRADE,PENDING,USDC_USDT,19,0.0
SPOT_TRADE,PENDING,USDT_TRY,141,0.0
SPOT_TRADE,SUCCESS,BTC_TRY,1388,437518.395736
SPOT_TRADE,SUCCESS,BTC_USDT,3452,1065671.66008
SPOT_TRADE,SUCCESS,ETH_TRY,1163,354193.173761
SPOT_TRADE,SUCCESS,ETH_USDT,2572,792402.901349
SPOT_TRADE,SUCCESS,USDC_USDT,897,259790.17248
SPOT_TRADE,SUCCESS,USDT_TRY,4971,1551940.036797
