rank,user_id,current_label,label_interpretation,fraud_neighbor_count,strong_relation_path_count,ip_path_count,graph_score,fraud_neighbor_uids,review_action,automatic_enforcement,path_examples
1,U0001193,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000803,MANUAL_REVIEW,False,U0001193 --withdraw_address:SHARED_WITHDRAW_ADDRESS_14--> U0000803 [source=2026-04-19T16:57:21+00:00..2026-04-19T16:57:21+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-01-10T21:45:02+00:00..2026-01-10T21:45:02+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
2,U0001108,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000789,MANUAL_REVIEW,False,U0001108 --kyc_id:SHARED_KYC_ID_13--> U0000789 [source=2026-01-01T16:52:09+00:00..2026-01-01T16:52:09+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-03-31T14:12:16+00:00..2026-03-31T14:12:16+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
3,U0000856,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000499,MANUAL_REVIEW,False,U0000856 --device:SHARED_DEVICE_10--> U0000499 [source=2026-04-11T11:22:07+00:00..2026-04-11T11:22:07+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-02-02T09:05:04+00:00..2026-02-02T09:05:04+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
4,U0000770,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000496,MANUAL_REVIEW,False,U0000770 --withdraw_address:SHARED_WITHDRAW_ADDRESS_09--> U0000496 [source=2026-04-19T23:00:04+00:00..2026-04-19T23:00:04+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-02-25T15:09:29+00:00..2026-02-25T15:09:29+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
5,U0000687,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000430,MANUAL_REVIEW,False,U0000687 --kyc_id:SHARED_KYC_ID_08--> U0000430 [source=2026-04-17T04:51:01+00:00..2026-04-17T04:51:01+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-01-02T01:52:12+00:00..2026-01-02T01:52:12+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
6,U0000433,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000332,MANUAL_REVIEW,False,U0000433 --device:SHARED_DEVICE_05--> U0000332 [source=2026-03-26T02:06:36+00:00..2026-03-26T02:06:36+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-03-27T18:44:34+00:00..2026-03-27T18:44:34+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
7,U0000347,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000106,MANUAL_REVIEW,False,U0000347 --withdraw_address:SHARED_WITHDRAW_ADDRESS_04--> U0000106 [source=2026-03-04T22:59:06+00:00..2026-03-04T22:59:06+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-01-01T13:10:22+00:00..2026-01-01T13:10:22+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
8,U0000262,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000064,MANUAL_REVIEW,False,U0000262 --kyc_id:SHARED_KYC_ID_03--> U0000064 [source=2026-04-20T12:09:24+00:00..2026-04-20T12:09:24+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-01-19T00:40:25+00:00..2026-01-19T00:40:25+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
9,U0000009,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6321205588285577,U0000006,MANUAL_REVIEW,False,U0000009 --device:SHARED_DEVICE_00--> U0000006 [source=2026-02-28T13:05:06+00:00..2026-02-28T13:05:06+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-01-18T16:16:49+00:00..2026-01-18T16:16:49+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
10,U0001025,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6132589765454988,U0000685,MANUAL_REVIEW,False,U0001025 --phone:SHARED_PHONE_12--> U0000685 [source=2026-04-01T21:46:41+00:00..2026-04-01T21:46:41+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-04-08T13:57:20+00:00..2026-04-08T13:57:20+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
11,U0000603,0,INCONCLUSIVE_UNCONFIRMED,1,1,0,0.6132589765454988,U0000389,MANUAL_REVIEW,False,U0000603 --phone:SHARED_PHONE_07--> U0000389 [source=2026-02-13T22:56:31+00:00..2026-02-13T22:56:31+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00; target=2026-02-19T22:30:39+00:00..2026-02-19T22:30:39+00:00; SHARED_IDENTIFIER_EVIDENCE; events=1; amount_usdt=0.00]
