review_rank,user_id,fraud_label,label_observed_at,fold,decision_tree_depth3_score,xgboost_oof_score,graph_score,xgboost_oof_percentile,combined_review_score,label_interpretation,automatic_relabel_allowed,automatic_enforcement_allowed,selection_lane,lane_rank,model_graph_overlap,swap_in_vs_model_only,review_status,review_reason,current_label,false_positive_conclusion_allowed,internal_str_candidate_only,automatic_external_filing_allowed,review_capacity
1,U0001193,0,2026-06-10 16:57:21+00:00,1,0.0,0.13631761074066162,0.6321205588285577,0.8383333333333334,0.7352269460809455,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,1,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
2,U0000942,0,2026-05-16 03:33:33+00:00,4,0.0,0.0929141566157341,0.5725850680512733,0.7483333333333333,0.6604592006923033,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,13,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
3,U0000856,0,2026-06-02 11:22:07+00:00,1,0.0,0.06054241582751274,0.6321205588285577,0.6491666666666667,0.6406436127476122,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,3,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
4,U0000347,0,2026-04-25 22:59:06+00:00,1,0.0,0.04411710053682327,0.6321205588285577,0.575,0.6035602794142788,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,7,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
5,U0000603,0,2026-04-06 22:56:31+00:00,2,0.0,0.028649717569351196,0.6132589765454988,0.4425,0.5278794882727493,INCONCLUSIVE_UNCONFIRMED,False,False,GRAPH_RECALL,11,True,True,PENDING_MANUAL_REVIEW,EXPLAINABLE_GRAPH_RECALL_PATH,0,False,True,False,50
6,U0000447,0,2026-04-15 01:59:26+00:00,2,0.9702258726899385,0.8746780157089233,0.0,0.995,0.4975,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,1,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
7,U0000055,0,2026-04-19 16:20:18+00:00,3,0.9672466734902765,0.8674783706665039,0.0,0.9941666666666666,0.4970833333333333,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,2,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
8,U0001185,0,2026-05-11 19:15:18+00:00,0,0.9775147928994086,0.862486720085144,0.0,0.9933333333333333,0.49666666666666665,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,3,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
9,U0000410,0,2026-06-10 05:33:52+00:00,3,0.0,0.8605381846427917,0.0,0.9925,0.49625,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,4,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
10,U0000875,0,2026-03-22 12:57:35+00:00,3,0.9672466734902765,0.8492251038551331,0.0,0.9916666666666667,0.49583333333333335,INCONCLUSIVE_UNCONFIRMED,False,False,MODEL_RANK,5,False,False,PENDING_MANUAL_REVIEW,HIGH_XGBOOST_OOF_RANK,0,False,True,False,50
