feature,direction,auc_1d,ks_1d,lift_top_10,lift_top_20,missing_rate,unique_count,selection_usage,model_input,context_note
deposit_count,higher_is_riskier,0.9086634876777039,0.6420072195730647,7.263157894736842,3.6842105263157894,0.0,26,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
fund_loop_cv,lower_is_riskier,0.8918400998261955,0.6477561388653683,6.315789473684211,3.9473684210526314,0.0,1200,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
amount_diff_ratio,lower_is_riskier,0.8900129239270912,0.6384419983065199,6.315789473684211,3.9473684210526314,0.0,1200,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
total_event_count,higher_is_riskier,0.8884754222558938,0.690939881456393,5.175438596491228,3.9473684210526314,0.0,125,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
withdrawal_count,higher_is_riskier,0.8764205178483888,0.6531485360310174,6.707152496626181,3.9473684210526314,0.0,20,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
trade_count,higher_is_riskier,0.8631623512634253,0.6340746022550023,4.245614035087719,3.4941520467836256,0.0,46,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
small_fiat_deposit_count,higher_is_riskier,0.8388297161192565,0.5291234012210883,6.120300751879698,3.397968605724838,0.0,27,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
withdrawal_amount,higher_is_riskier,0.8219617630019163,0.615580016934801,3.1578947368421053,2.631578947368421,0.0,1200,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
withdraw_deposit_ratio,higher_is_riskier,0.8109095770756273,0.5544810374793885,1.5789473684210527,3.6842105263157894,0.0,1200,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
kyc_to_first_deposit_minutes,lower_is_riskier,0.8027541334284058,0.6646909398814564,2.1052631578947367,2.1052631578947367,0.0,1076,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
withdraw_address_unique_count,higher_is_riskier,0.768817683497482,0.37305584027808725,4.258630447085456,2.8216066481994457,0.0,4,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
api_event_ratio,lower_is_riskier,0.7569633227862205,0.5012701100762066,2.1052631578947367,2.3684210526315788,0.0,385,descriptive_only_not_used_for_oof_tuning,False,context_only_not_a_standalone_rule_or_model_input
asset_pair_unique_count,higher_is_riskier,0.701033914167298,0.2910557511475556,1.9793072424651372,1.9793072424651372,0.0,6,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
bank_risk_max,higher_is_riskier,0.6994741298631846,0.38513302731850785,1.7959590920429034,1.7959590920429034,0.0,11,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
trade_amount,higher_is_riskier,0.6958866259637239,0.37002540220152413,2.631578947368421,1.8421052631578947,0.0,1200,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
night_event_ratio,lower_is_riskier,0.6742501894023798,0.3407014572841927,2.1052631578947367,1.8421052631578947,0.0,468,descriptive_only_not_used_for_oof_tuning,False,context_only_not_a_standalone_rule_or_model_input
registration_to_kyc_minutes,lower_is_riskier,0.6718882303132938,0.371718882303133,1.0526315789473684,1.3157894736842104,0.0,550,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
withdraw_ip_unique_count,higher_is_riskier,0.6629083292481841,0.22639155042559833,2.774655084312723,1.980668231087272,0.0,4,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
deposit_amount,higher_is_riskier,0.6479343999286955,0.28931770578011495,2.631578947368421,1.8421052631578947,0.0,1200,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
deposit_ip_unique_count,higher_is_riskier,0.6028343509069032,0.2056687018138063,1.4716402657128256,1.4716402657128256,0.0,2,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
trade_deposit_ratio,higher_is_riskier,0.5696332278622042,0.3649449618966977,0.5263157894736842,0.5263157894736842,0.0,1200,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
device_unique_count,higher_is_riskier,0.5625250679620304,0.21052631578947367,2.828635569967573,1.7884759291593912,0.0,4,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
withdraw_deposit_ip_ratio,higher_is_riskier,0.559561477784215,0.1879762912785775,0.5944717909882621,0.7516092389246496,0.0,6,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
bank_name_match_ratio,lower_is_riskier,0.5514505994028255,0.1805784571504969,0.0,0.7894736842105263,0.0,33,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
bank_risk_mean,lower_is_riskier,0.5151967556486474,0.1902491198359998,0.0,0.5263157894736842,0.0,310,descriptive_only_not_used_for_oof_tuning,True,candidate_model_input
