user_id,registration_time,registration_channel,kyc_level,age,age_band,occupation,country_code,ka_owner,bd_owner,user_restriction,risk_tag,fraud_label,deposit_amount,trade_amount,withdrawal_amount,net_fund_flow,withdraw_address_unique_count,withdraw_ip_unique_count,fund_loop_cv,amount_diff_ratio,risk_level,risk_source,risk_operator,risk_reason,risk_recorded_at
U0000001,2026-03-18T06:36:32+00:00,ANDROID,L1,31,25-34,OTHER,TR,KA_00,BD_00,NONE,BASELINE,0,8409.850512,6955.280269,4455.531172,3954.319340000001,1,1,0.24717126245649684,0.5985147240859158,MEDIUM,MANUAL_REVIEW_SYNTHETIC,REVIEWER_DEMO,Synthetic documented override; T+1 must not overwrite,2026-07-08T19:33:36+00:00
U0000002,2026-03-14T03:37:24+00:00,IOS,L2,48,35-49,RETIRED,TR,N/A,N/A,NONE,BASELINE,0,10074.89552,4295.795736,8961.15302,1113.7425000000003,3,2,0.32188874197822176,0.7430745356822815,MEDIUM,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000003,2026-04-24T07:35:11+00:00,IOS,L2,57,50+,STUDENT,AE,N/A,N/A,NONE,BASELINE,0,16397.755845,7722.322639,7885.684700000001,8512.071144999998,1,3,0.37977684180120086,0.8131754105776426,MEDIUM,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000004,2026-01-01T13:07:37+00:00,WEB,L2,59,50+,SALARIED,TR,N/A,N/A,NONE,BASELINE,0,1549.578011,1429.4697879999999,207.457836,1342.120175,1,2,0.5708675845009983,1.2635661085218826,MEDIUM,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000005,2026-04-24T22:06:51+00:00,IOS,L2,30,25-34,SALARIED,TR,N/A,N/A,REVIEW_ONLY,BASELINE,0,4669.891741,1983.3436629999999,705.912738,3963.9790030000004,2,3,0.6734552413730753,1.6159393423717818,LOW,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000006,2026-01-18T16:16:49+00:00,WEB,L2,51,50+,STUDENT,TR,N/A,N/A,REVIEW_ONLY,BASELINE,1,6832.252995,5893.492738,7191.074543,-358.8215479999999,2,4,0.08240584474741966,0.19545014520670265,MEDIUM,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000007,2026-03-14T21:54:30+00:00,ANDROID,L2,65,50+,STUDENT,TR,N/A,N/A,NONE,BASELINE,0,3727.253399,3474.705565,443.215751,3284.037648,2,2,0.5855263268670935,1.2886707382461697,LOW,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000008,2026-04-24T18:28:57+00:00,ANDROID,L2,19,18-24,SELF_EMPLOYED,TR,N/A,N/A,REVIEW_ONLY,BASELINE,0,1845.333887,1216.404221,788.187918,1057.1459690000002,1,1,0.33831550422630113,0.8237659335743299,LOW,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000009,2026-02-28T13:05:06+00:00,WEB,L2,40,35-49,OTHER,NL,N/A,N/A,NONE,BASELINE,0,1974.1534820000002,2172.737876,853.182803,1120.970679,2,1,0.34854821873598685,0.7917213008313218,MEDIUM,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000010,2026-02-09T09:06:09+00:00,WEB,L2,31,25-34,OTHER,TR,KA_09,N/A,NONE,BASELINE,0,9518.40653,3803.332502,1148.283293,8370.123237,2,1,0.724057847448322,1.7353373164889017,LOW,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000011,2026-03-11T04:46:37+00:00,ANDROID,L2,19,18-24,SALARIED,TR,N/A,N/A,NONE,BASELINE,0,1338.579457,1358.637261,327.590446,1010.9890110000001,2,2,0.47743418159133005,1.0225909544956369,LOW,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000012,2026-01-20T08:26:05+00:00,ANDROID,L1,62,50+,STUDENT,GB,N/A,BD_03,NONE,SYNTHETIC_GRAPH_SIGNAL,0,2465.325039,2695.8455679999997,3193.709968,-728.3849290000003,2,2,0.10914523844425843,0.2615423125901475,MEDIUM,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
U0000013,2026-03-23T21:49:47+00:00,IOS,L2,49,35-49,RETIRED,AE,N/A,N/A,NONE,BASELINE,0,4491.969369,4606.674899000001,4398.119693000001,93.84967599999982,1,2,0.01895656548786893,0.0463567133431326,MEDIUM,SYNTHETIC_UNCALIBRATED_OOF_RANK_PLUS_GRAPH,SYSTEM_DEMO,Demo-only band from uncalibrated ranking evidence; recorded after all inputs were available,2026-07-08T18:33:36+00:00
