user_id,deposit_amount,trade_amount,withdrawal_amount,deposit_count,trade_count,withdrawal_count,withdraw_address_unique_count,withdraw_ip_unique_count,deposit_ip_unique_count,asset_pair_unique_count
U0000001,8409.850512,6955.280269,4455.531172,4,14,1,1,1,1,6
U0000002,10074.89552,4295.795736,8961.15302,13,14,11,3,2,1,6
U0000003,16397.755845,7722.322639,7885.6847,16,33,9,1,3,1,6
U0000004,1549.578011,1429.4697879999999,207.457836,17,15,6,1,2,2,5
U0000005,4669.891741,1983.3436629999999,705.912738,5,21,5,2,3,2,5
U0000006,6832.252995,5893.492738,7191.074543,17,25,13,2,4,2,6
U0000007,3727.253399,3474.7055649999998,443.215751,8,16,6,2,2,2,3
U0000008,1845.333887,1216.404221,788.187918,7,8,2,1,1,2,4
U0000009,1974.1534820000002,2172.737876,853.182803,4,6,2,2,1,2,4
U0000010,9518.40653,3803.332502,1148.283293,8,13,3,2,1,1,4
U0000011,1338.579457,1358.637261,327.590446,11,29,6,2,2,1,6
U0000012,2465.325039,2695.8455679999997,3193.709968,4,9,3,2,2,1,5
U0000013,4491.969369,4606.674899000001,4398.119693000001,4,10,3,1,2,1,5
U0000014,4545.361907,4378.304583,3643.470425,8,21,8,3,1,1,5
U0000015,3272.6819189999997,1435.329024,87.194205,3,15,1,1,1,2,5
U0000016,4674.762829,6604.502655,3044.298671,11,17,5,1,2,1,6
U0000017,4808.53669,6940.5768530000005,6078.485933,9,21,8,2,2,2,6
U0000018,4649.026664999999,4002.691176,4981.304126,2,10,4,2,3,1,3
U0000019,4621.648829,2839.117719,3722.053524,6,15,3,1,2,2,5
U0000020,4673.876815,4868.960765,4101.445275,7,17,7,1,2,1,5
U0000021,2080.849478,2309.584073,1100.005053,4,16,3,2,1,2,4
U0000022,21399.119333,2819.691131,4103.28535,10,17,3,2,2,1,6
U0000023,3325.50187,3701.012897,1690.544914,11,19,12,3,3,1,5
U0000024,6032.185495,3205.351914,502.369599,5,8,7,1,2,1,4
U0000025,6168.5592719999995,6291.6889,834.5983309999999,8,13,3,2,2,1,5
U0000026,5039.450667,2668.497148,2661.739663,7,18,2,1,2,2,5
U0000027,954.8043829999999,730.850876,265.835504,4,9,4,1,1,2,3
U0000028,13525.070182,8649.220719,2233.87586,8,11,4,3,3,2,4
U0000029,2225.498739,3218.4554,2363.924082,4,7,2,2,2,1,4
U0000030,2409.127658,3196.526626,787.2698340000001,4,6,4,1,2,2,3
U0000031,1554.016946,1781.383985,413.696819,4,6,1,1,1,1,4
U0000032,7702.779266,12639.486314,10242.779601999999,3,10,4,1,1,1,4
U0000033,9083.319593,16788.562293,7890.497247,2,3,2,1,1,1,3
U0000034,6591.775162,5565.887766,2882.288654,1,8,5,2,1,1,4
U0000035,5952.448182,5772.726798,6609.027835,5,25,6,1,2,2,6
U0000036,6543.4928469999995,3858.362778,4164.323747,3,8,6,2,2,1,3
U0000037,10156.261838,14364.449776,8689.5691,5,26,4,2,1,1,6
U0000038,3068.449687,2876.724196,2015.1809440000002,8,13,3,2,1,2,5
U0000039,3198.372821,2640.630292,3494.481702,4,10,2,2,1,1,4
U0000040,6237.55914,1703.328229,3030.783389,3,9,5,2,1,1,4
U0000041,1175.159518,1166.19045,827.572535,3,9,4,2,3,1,5
U0000042,3738.030531,5401.571842,1346.699049,6,10,3,2,2,1,4
U0000043,1204.568124,832.626736,994.894351,4,11,5,1,2,1,5
U0000044,868.580216,779.119884,420.510564,7,13,6,3,2,1,5
U0000045,2723.5796840000003,718.912385,432.324472,5,8,2,1,2,1,4
U0000046,3703.377086,1222.943763,1059.454698,5,13,3,2,2,2,5
U0000047,4010.022215,3076.205948,1154.444131,6,16,6,1,2,2,6
U0000048,3029.79354,3109.697309,1570.2719889999998,6,25,5,1,1,1,5
U0000049,1597.478685,2498.920349,2752.454899,5,16,9,3,1,2,6
U0000050,4912.519894999999,4219.545618,4465.855186,12,21,6,2,2,1,5
U0000051,11146.866687,7350.381805,1060.0742989999999,5,13,3,2,2,1,5
U0000052,17566.193876,22600.753613,13597.619779,7,18,6,3,1,2,5
U0000053,17840.192193,34862.706427,1983.3862100000001,4,9,2,1,1,1,3
U0000054,5594.716612,4782.422373,3172.595779,6,7,4,2,2,1,3
U0000055,4947.128094,5034.268074,6075.776678,9,25,8,2,3,1,5
U0000056,12582.616796,12038.11925,17081.983248,2,6,3,1,1,2,5
U0000057,1276.950997,1695.795493,696.9811119999999,8,22,5,2,2,1,6
U0000058,6222.738755,6770.776376,5428.394402,1,8,4,3,3,1,6
U0000059,7614.730614,5110.806434,2512.132684,12,36,12,2,2,1,6
U0000060,3502.722268,3761.1654129999997,3166.117282,7,13,1,1,1,1,6
U0000061,550.752406,705.894309,313.40279,10,31,16,3,2,1,6
U0000062,685.521964,1841.986954,1235.957977,5,19,6,2,3,1,5
U0000063,7554.9825040000005,11533.29838,7953.4648609999995,7,26,6,1,1,1,6
U0000064,13246.711878,10246.019186,11866.668861,18,32,11,1,2,1,6
U0000065,13797.662392,11857.116518,5677.562068,10,22,3,2,1,1,6
U0000066,4956.817707,4900.920615,4051.609159,7,21,5,1,1,2,5
U0000067,6516.229473,5867.0812399999995,1517.057559,3,4,3,1,2,1,3
U0000068,3394.284229,3083.57771,512.985544,3,6,4,2,1,1,4
U0000069,7990.5582939999995,2584.091973,607.57197,17,47,12,1,3,1,6
U0000070,1996.331631,1449.959098,1180.715312,4,11,3,1,1,2,5
U0000071,4523.569065,4659.420062,2730.1337439999998,12,27,11,2,2,1,4
U0000072,1752.14616,770.177902,221.155847,3,9,1,1,1,1,4
U0000073,4911.374637,3847.639481,4661.224092,3,6,1,1,1,1,3
U0000074,2412.886112,566.31619,1533.394792,4,26,9,3,2,2,6
U0000075,2119.648432,549.034566,783.400265,6,13,2,1,1,2,5
U0000076,12343.389356,7467.706735,3836.033893,9,28,7,2,1,1,6
U0000077,10404.340079,6219.107505999999,6433.281797,6,6,1,1,1,2,3
U0000078,6460.164858,2110.129667,1323.896405,9,19,3,1,1,2,5
U0000079,14788.536452999999,12788.391355,4826.660097,4,11,5,3,2,1,4
U0000080,4709.39632,5756.15266,3015.9163399999998,4,16,2,1,1,1,6
U0000081,5153.914675,4507.570813,3127.48021,10,13,6,1,3,1,4
U0000082,3808.687738,4102.377005,1152.020888,3,10,3,2,1,1,4
U0000083,8530.827238,9184.015927,2424.579788,6,8,2,2,2,1,4
U0000084,6540.207189,8068.802531,6561.662192000001,7,16,4,1,1,1,6
U0000085,9699.803531,7052.36731,4475.749007,4,10,4,1,1,2,4
U0000086,3319.290724,2536.211352,1230.728252,4,10,4,2,1,2,5
U0000087,4016.477505,1677.693467,1686.135445,6,8,2,1,1,2,4
U0000088,17812.978035,18513.154251,9060.45379,3,10,2,2,1,2,5
U0000089,2588.479616,3105.327668,1336.632818,5,25,3,2,1,1,5
U0000090,1939.988259,2060.292332,687.304766,16,34,6,1,1,2,5
U0000091,9077.863274,3721.40059,1991.120559,4,7,5,1,2,2,4
U0000092,2513.169694,2156.452583,323.946048,8,13,7,1,3,1,3
U0000093,14539.035955,10582.137204999999,6562.649884,3,7,7,3,3,1,3
U0000094,1625.646869,1628.139198,707.37132,7,25,7,1,3,2,5
U0000095,2077.730992,2039.8418709999999,511.646102,9,9,7,2,1,2,5
U0000096,6241.58521,3941.1138539999997,2243.04151,9,12,4,2,3,2,4
U0000097,16539.348824,16513.798531,10701.15066,4,14,4,2,2,2,5
U0000098,2240.107952,2546.46152,492.407418,6,12,6,2,2,1,4
U0000099,2911.859434,1468.713716,252.889119,8,19,3,2,1,1,6
U0000100,3756.420909,1480.279781,190.464931,25,51,14,1,3,1,5
U0000101,3732.906575,2721.018729,2257.574532,11,23,8,2,2,2,5
U0000102,2352.828161,1460.598598,1241.868823,11,25,11,2,1,1,5
U0000103,7518.88781,14395.395836,11388.724184,3,7,1,1,1,1,3
U0000104,2990.972276,4043.9994460000003,2617.904771,6,17,5,2,1,2,6
U0000105,1996.184622,3137.377512,1274.295048,2,7,4,2,1,2,4
U0000106,12370.297727,11063.973167,11644.877876,9,18,11,3,1,1,5
U0000107,7751.819878,10764.082521,7365.300036000001,6,16,2,1,1,2,5
U0000108,4748.460017,5386.233501,4334.722282,8,20,5,1,1,1,5
U0000109,545.426428,1193.5267020000001,515.196232,5,14,3,2,3,2,5
U0000110,15993.100864,14853.523766,10981.793285,3,8,3,1,1,1,5
U0000111,6752.784084000001,4635.5197960000005,7208.571889999999,3,10,2,1,2,2,5
U0000112,4891.025664,2930.97092,2920.579784,2,10,5,2,1,1,5
U0000113,1492.384168,1568.323833,623.9652140000001,10,27,10,2,1,1,4
U0000114,3534.986372,2562.407424,1148.9283560000001,8,16,7,3,3,1,5
U0000115,2316.535584,1920.1600290000001,2307.793901,16,29,6,2,1,1,6
U0000116,3283.754362,1168.4762230000001,1583.672778,7,12,6,3,1,1,5
U0000117,10579.304848,9040.304117,10495.573935,6,13,7,2,3,1,5
U0000118,3046.894053,2849.766062,3125.350469,5,8,5,3,1,1,4
U0000119,7431.216213,1886.8139330000001,2176.512201,7,12,6,3,2,2,4
U0000120,2416.022738,1898.800756,2551.516907,6,13,4,2,3,2,5
U0000121,3419.624608,3090.331361,444.214774,3,16,1,1,1,2,5
U0000122,2898.807185,500.212383,946.86615,4,16,3,2,2,1,5
U0000123,7164.316823,2079.469921,2698.59324,13,34,8,2,2,1,6
U0000124,4916.495272,5982.422525,312.457946,13,25,12,3,1,1,6
U0000125,5801.38792,11258.695129,2435.778306,5,17,6,1,1,2,5
U0000126,7343.020529,6290.440689,1379.518973,5,14,7,2,2,2,5
U0000127,6261.185797,7884.636887,3976.188888,4,6,1,1,1,1,4
U0000128,1373.364033,1608.54412,1055.131035,5,21,6,3,2,2,6
U0000129,3161.845774,1877.7972359999999,713.389345,6,8,6,1,1,2,4
U0000130,12457.555493,3830.003388,8030.557606,4,7,2,1,2,1,4
U0000131,1219.359852,2664.376991,2111.487436,4,14,5,1,3,2,5
U0000132,15216.290839,11662.671159,7530.526633,5,10,1,1,1,1,3
U0000133,2731.627459,3930.178842,2389.8038509999997,3,13,4,3,2,1,5
U0000134,854.1029599999999,840.554736,539.624347,6,18,3,2,2,1,5
U0000135,4971.552654,2326.712946,1550.232751,2,8,2,1,1,1,5
U0000136,3446.667759,1473.049656,2415.369647,11,22,12,2,1,2,5
U0000137,7004.45886,9771.999451,7144.920345,8,24,8,1,2,1,6
U0000138,779.961503,614.036075,739.1873009999999,7,13,7,2,3,1,4
U0000139,5453.628461,5368.826399,2569.1254950000002,7,11,3,1,1,1,4
U0000140,15811.047121,12475.225974,16376.560682,4,7,4,2,3,2,4
U0000141,1226.5444499999999,705.006537,945.8333230000001,7,8,4,2,3,1,4
U0000142,5268.606188,2722.245274,2463.447393,7,21,5,2,2,2,6
U0000143,4230.081634,2967.267729,1371.985311,6,41,6,2,1,2,6
U0000144,4977.305651000001,4953.282254,5026.2677220000005,4,10,5,2,2,1,3
U0000145,1807.676904,5232.983112,609.501793,5,22,5,1,1,1,5
