case_id,user_id,normalized_sorusturma_no,normalized_sayi,normalized_case_type,created_at,reply_deadline
KEPCASE000001,U0000864,SOR2026000001,SAYI2026000001,REGULATORY_REVIEW,2026-05-01T00:03:00+00:00,2026-05-11T00:03:00+00:00
KEPCASE000002,U0000620,SOR2026000002,SAYI2026000002,REGULATORY_REVIEW,2026-05-01T00:06:00+00:00,2026-05-11T00:06:00+00:00
KEPCASE000003,U0000349,SOR2026000003,SAYI2026000003,REGULATORY_REVIEW,2026-05-01T00:09:00+00:00,2026-05-11T00:09:00+00:00
KEPCASE000004,U0001176,SOR2026000004,SAYI2026000004,REGULATORY_REVIEW,2026-05-01T00:12:00+00:00,2026-05-11T00:12:00+00:00
KEPCASE000005,U0000747,SOR2026000005,SAYI2026000005,REGULATORY_REVIEW,2026-05-01T00:15:00+00:00,2026-05-11T00:15:00+00:00
KEPCASE000006,U0000004,SOR2026000006,SAYI2026000006,REGULATORY_REVIEW,2026-05-01T00:18:00+00:00,2026-05-11T00:18:00+00:00
KEPCASE000007,U0000106,SOR2026000007,SAYI2026000007,REGULATORY_REVIEW,2026-05-01T00:21:00+00:00,2026-05-11T00:21:00+00:00
KEPCASE000008,U0000612,SOR2026000008,SAYI2026000008,REGULATORY_REVIEW,2026-05-01T00:24:00+00:00,2026-05-11T00:24:00+00:00
KEPCASE000009,U0001108,SOR2026000009,SAYI2026000009,REGULATORY_REVIEW,2026-05-01T00:27:00+00:00,2026-05-11T00:27:00+00:00
KEPCASE000010,U0000226,SOR2026000010,SAYI2026000010,REGULATORY_REVIEW,2026-05-01T00:30:00+00:00,2026-05-11T00:30:00+00:00
KEPCASE000011,U0000261,SOR2026000011,SAYI2026000011,REGULATORY_REVIEW,2026-05-01T00:33:00+00:00,2026-05-11T00:33:00+00:00
KEPCASE000012,U0000749,SOR2026000012,SAYI2026000012,REGULATORY_REVIEW,2026-05-01T00:36:00+00:00,2026-05-11T00:36:00+00:00
KEPCASE000013,U0000430,SOR2026000013,SAYI2026000013,REGULATORY_REVIEW,2026-05-01T00:39:00+00:00,2026-05-11T00:39:00+00:00
KEPCASE000014,U0000020,SOR2026000014,SAYI2026000014,REGULATORY_REVIEW,2026-05-01T00:42:00+00:00,2026-05-11T00:42:00+00:00
KEPCASE000015,U0000453,SOR2026000015,SAYI2026000015,REGULATORY_REVIEW,2026-05-01T00:45:00+00:00,2026-05-11T00:45:00+00:00
KEPCASE000016,U0000669,SOR2026000016,SAYI2026000016,REGULATORY_REVIEW,2026-05-01T00:48:00+00:00,2026-05-11T00:48:00+00:00
KEPCASE000017,U0000683,SOR2026000017,SAYI2026000017,REGULATORY_REVIEW,2026-05-01T00:51:00+00:00,2026-05-11T00:51:00+00:00
KEPCASE000018,U0000531,SOR2026000018,SAYI2026000018,REGULATORY_REVIEW,2026-05-01T00:54:00+00:00,2026-05-11T00:54:00+00:00
KEPCASE000019,U0000330,SOR2026000019,SAYI2026000019,REGULATORY_REVIEW,2026-05-01T00:57:00+00:00,2026-05-11T00:57:00+00:00
KEPCASE000020,U0000469,SOR2026000020,SAYI2026000020,REGULATORY_REVIEW,2026-05-01T01:00:00+00:00,2026-05-11T01:00:00+00:00
KEPCASE000021,U0001133,SOR2026000021,SAYI2026000021,ICRA,2026-05-01T01:03:00+00:00,2026-05-11T01:03:00+00:00
KEPCASE000022,U0000438,SOR2026000022,SAYI2026000022,REGULATORY_REVIEW,2026-05-01T01:06:00+00:00,2026-05-11T01:06:00+00:00
KEPCASE000023,U0000446,SOR2026000023,SAYI2026000023,REGULATORY_REVIEW,2026-05-01T01:09:00+00:00,2026-05-11T01:09:00+00:00
KEPCASE000024,U0000966,SOR2026000024,SAYI2026000024,REGULATORY_REVIEW,2026-05-01T01:12:00+00:00,2026-05-11T01:12:00+00:00
KEPCASE000025,U0000130,SOR2026000025,SAYI2026000025,REGULATORY_REVIEW,2026-05-01T01:15:00+00:00,2026-05-11T01:15:00+00:00
KEPCASE000026,U0000724,SOR2026000026,SAYI2026000026,REGULATORY_REVIEW,2026-05-01T01:18:00+00:00,2026-05-11T01:18:00+00:00
KEPCASE000027,U0001150,SOR2026000027,SAYI2026000027,REGULATORY_REVIEW,2026-05-01T01:21:00+00:00,2026-05-11T01:21:00+00:00
KEPCASE000028,U0000409,SOR2026000028,SAYI2026000028,REGULATORY_REVIEW,2026-05-01T01:24:00+00:00,2026-05-11T01:24:00+00:00
KEPCASE000029,U0000233,SOR2026000029,SAYI2026000029,REGULATORY_REVIEW,2026-05-01T01:27:00+00:00,2026-05-11T01:27:00+00:00
KEPCASE000030,U0001069,SOR2026000030,SAYI2026000030,REGULATORY_REVIEW,2026-05-01T01:30:00+00:00,2026-05-11T01:30:00+00:00
KEPCASE000031,U0000979,SOR2026000031,SAYI2026000031,REGULATORY_REVIEW,2026-05-01T01:33:00+00:00,2026-05-11T01:33:00+00:00
KEPCASE000032,U0001180,SOR2026000032,SAYI2026000032,REGULATORY_REVIEW,2026-05-01T01:36:00+00:00,2026-05-11T01:36:00+00:00
KEPCASE000033,U0000657,SOR2026000033,SAYI2026000033,REGULATORY_REVIEW,2026-05-01T01:39:00+00:00,2026-05-11T01:39:00+00:00
KEPCASE000034,U0000551,SOR2026000034,SAYI2026000034,REGULATORY_REVIEW,2026-05-01T01:42:00+00:00,2026-05-11T01:42:00+00:00
KEPCASE000035,U0000802,SOR2026000035,SAYI2026000035,REGULATORY_REVIEW,2026-05-01T01:45:00+00:00,2026-05-11T01:45:00+00:00
KEPCASE000036,U0000594,SOR2026000036,SAYI2026000036,REGULATORY_REVIEW,2026-05-01T01:48:00+00:00,2026-05-11T01:48:00+00:00
KEPCASE000037,U0001023,SOR2026000037,SAYI2026000037,REGULATORY_REVIEW,2026-05-01T01:51:00+00:00,2026-05-11T01:51:00+00:00
KEPCASE000038,U0001163,SOR2026000038,SAYI2026000038,REGULATORY_REVIEW,2026-05-01T01:54:00+00:00,2026-05-11T01:54:00+00:00
KEPCASE000039,U0000217,SOR2026000039,SAYI2026000039,REGULATORY_REVIEW,2026-05-01T01:57:00+00:00,2026-05-11T01:57:00+00:00
KEPCASE000040,U0000327,SOR2026000040,SAYI2026000040,REGULATORY_REVIEW,2026-05-01T02:00:00+00:00,2026-05-11T02:00:00+00:00
