user_id,customer_name,registration_time,registration_channel,kyc_level,fraud_label,label_observed_at,feature_cutoff,registration_to_kyc_minutes,kyc_to_first_deposit_minutes,deposit_count,trade_count,withdrawal_count,deposit_amount,trade_amount,withdrawal_amount,withdraw_deposit_ratio,trade_deposit_ratio,fund_loop_cv,amount_diff_ratio,small_fiat_deposit_count,withdraw_address_unique_count,withdraw_ip_unique_count,deposit_ip_unique_count,device_unique_count,api_event_ratio,night_event_ratio,total_event_count,bank_risk_max,bank_risk_mean,bank_name_match_ratio,asset_pair_unique_count,withdraw_deposit_ip_ratio
U0000001,Synthetic_User_00001,2026-03-18 06:36:32+00:00,ANDROID,L1,0,2026-05-09 06:36:32+00:00,2026-05-02 06:36:32+00:00,291.0,4010.0,4,14,1,8409.850512,6955.280269,4455.531172,0.5297990928188807,0.8270397029145194,0.24717126245649684,0.5985147240859158,0.0,1,1,1,3,0.13333333333333333,0.23333333333333334,30,0.8,0.45,1.0,6,1.0
U0000002,Synthetic_User_00002,2026-03-14 03:37:24+00:00,IOS,L2,0,2026-05-05 03:37:24+00:00,2026-04-28 03:37:24+00:00,593.0,2256.0,13,14,11,10074.89552,4295.795736,8961.15302,0.889453692319779,0.4263861324886474,0.32188874197822176,0.7430745356822815,9.0,3,2,1,3,0.08108108108108109,0.33783783783783783,74,0.8,0.3384615384615385,0.9230769230769231,6,2.0
U0000003,Synthetic_User_00003,2026-04-24 07:35:11+00:00,IOS,L2,0,2026-06-15 07:35:11+00:00,2026-06-08 07:35:11+00:00,79.0,2289.0,16,33,9,16397.755845,7722.322639,7885.684700000001,0.4809002386997061,0.4709377741683286,0.37977684180120086,0.8131754105776426,8.0,1,3,1,2,0.10077519379844961,0.27906976744186046,129,0.8,0.49374999999999997,0.9375,6,3.0
U0000004,Synthetic_User_00004,2026-01-01 13:07:37+00:00,WEB,L2,0,2026-02-22 13:07:37+00:00,2026-02-15 13:07:37+00:00,533.0,999.0,17,15,6,1549.578011,1429.4697879999999,207.457836,0.13388021417916207,0.9224897216226694,0.5708675845009983,1.2635661085218826,17.0,1,2,2,1,0.11267605633802817,0.22535211267605634,71,1.0,0.5882352941176471,0.9411764705882353,5,1.0
U0000005,Synthetic_User_00005,2026-04-24 22:06:51+00:00,IOS,L2,0,2026-06-15 22:06:51+00:00,2026-06-08 22:06:51+00:00,453.0,4427.0,5,21,5,4669.891741,1983.3436629999999,705.912738,0.15116254875939317,0.42470870268510574,0.6734552413730753,1.6159393423717818,3.0,2,3,2,2,0.11475409836065574,0.32786885245901637,61,1.0,0.82,1.0,5,1.5
U0000006,Synthetic_User_00006,2026-01-18 16:16:49+00:00,WEB,L2,1,2026-03-11 16:16:49+00:00,2026-03-04 16:16:49+00:00,90.0,1204.0,17,25,13,6832.252995,5893.492738,7191.074543,1.0525187735674593,0.8625987272884938,0.08240584474741966,0.19545014520670265,17.0,2,4,2,2,0.10416666666666667,0.17708333333333334,96,1.0,0.5117647058823529,1.0,6,2.0
U0000007,Synthetic_User_00007,2026-03-14 21:54:30+00:00,ANDROID,L2,0,2026-05-05 21:54:30+00:00,2026-04-28 21:54:30+00:00,610.0,3234.0,8,16,6,3727.253399,3474.705565,443.215751,0.11891215958617468,0.9322429126853149,0.5855263268670935,1.2886707382461697,8.0,2,2,2,1,0.18,0.26,50,0.7,0.3875,0.875,3,1.0
U0000008,Synthetic_User_00008,2026-04-24 18:28:57+00:00,ANDROID,L2,0,2026-06-15 18:28:57+00:00,2026-06-08 18:28:57+00:00,40.0,4592.0,7,8,2,1845.333887,1216.404221,788.187918,0.4271248274107048,0.6591783901923218,0.33831550422630113,0.8237659335743299,7.0,1,1,2,2,0.05,0.25,40,0.9,0.6857142857142857,0.8571428571428571,4,0.5
U0000009,Synthetic_User_00009,2026-02-28 13:05:06+00:00,WEB,L2,0,2026-04-21 13:05:06+00:00,2026-04-14 13:05:06+00:00,556.0,4777.0,4,6,2,1974.1534820000002,2172.737876,853.182803,0.4321765307404807,1.1005921757404675,0.34854821873598685,0.7917213008313218,4.0,2,1,2,3,0.11538461538461539,0.34615384615384615,26,0.8,0.575,1.0,4,0.5
U0000010,Synthetic_User_00010,2026-02-09 09:06:09+00:00,WEB,L2,0,2026-04-02 09:06:09+00:00,2026-03-26 09:06:09+00:00,513.0,4404.0,8,13,3,9518.40653,3803.332502,1148.283293,0.12063818553881413,0.39957659824811037,0.724057847448322,1.7353373164889017,6.0,2,1,1,2,0.11904761904761904,0.2857142857142857,42,0.8,0.425,1.0,4,1.0
U0000011,Synthetic_User_00011,2026-03-11 04:46:37+00:00,ANDROID,L2,0,2026-05-02 04:46:37+00:00,2026-04-25 04:46:37+00:00,504.0,71.0,11,29,6,1338.579457,1358.637261,327.590446,0.24472992192349174,1.0149843955060787,0.47743418159133005,1.0225909544956369,11.0,2,2,1,2,0.13157894736842105,0.35526315789473684,76,0.9,0.43636363636363634,1.0,6,2.0
U0000012,Synthetic_User_00012,2026-01-20 08:26:05+00:00,ANDROID,L1,0,2026-03-13 08:26:05+00:00,2026-03-06 08:26:05+00:00,269.0,705.0,4,9,3,2465.325039,2695.8455679999997,3193.709968,1.2954518846307796,1.0935051262423008,0.10914523844425843,0.2615423125901475,4.0,2,2,1,1,0.1111111111111111,0.2222222222222222,36,1.0,0.45,0.75,5,2.0
U0000013,Synthetic_User_00013,2026-03-23 21:49:47+00:00,IOS,L2,0,2026-05-14 21:49:47+00:00,2026-05-07 21:49:47+00:00,608.0,1846.0,4,10,3,4491.969369,4606.674899000001,4398.119693000001,0.9791072315301891,1.0255356883757059,0.01895656548786893,0.0463567133431326,2.0,1,2,1,3,0.11764705882352941,0.17647058823529413,34,0.4,0.35,1.0,5,2.0
U0000014,Synthetic_User_00014,2026-03-27 06:26:56+00:00,WEB,L2,0,2026-05-18 06:26:56+00:00,2026-05-11 06:26:56+00:00,97.0,1758.0,8,21,8,4545.361907,4378.304583,3643.470425,0.8015798300656634,0.9632466396696099,0.09352060064054672,0.2152976023337931,7.0,3,1,1,1,0.10256410256410256,0.2948717948717949,78,1.0,0.3625,1.0,5,1.0
U0000015,Synthetic_User_00015,2026-03-14 22:24:23+00:00,ANDROID,L2,0,2026-05-05 22:24:23+00:00,2026-04-28 22:24:23+00:00,639.0,3002.0,3,15,1,3272.6819189999997,1435.3290240000001,87.194205,0.026643042971509753,0.43857883519537977,0.8167984464285685,1.9929206044470993,2.0,1,1,2,3,0.3,0.15,40,0.8,0.7333333333333334,1.0,5,0.5
U0000016,Synthetic_User_00016,2026-02-08 20:54:47+00:00,WEB,L2,0,2026-04-01 20:54:47+00:00,2026-03-25 20:54:47+00:00,644.0,3015.0,11,17,5,4674.762829,6604.502655,3044.298671,0.6512199190330303,1.4127995144542551,0.3047756662684515,0.7456671982211679,11.0,1,2,1,3,0.06153846153846154,0.2923076923076923,65,0.9,0.4272727272727273,1.0,6,2.0
